2014-04-08 07:14:01,258 [jobRequestListenerContainer-5] INFO  dsc.clientservice.CommandMessageHandlerImpl - LIST_JOB_PERMISSIONS -7205755570613669634 com.teradata.dsc.commons.schema.generated.DscListJobPermission@403ddee7
2014-04-08 07:14:01,258 [pool-2-thread-1] INFO  dsc.clientservice.DSCMessageHandlerImpl - Process command 4823@BIGDATAVP20140321215954,LIST_JOB_PERMISSIONS
2014-04-08 07:14:01,258 [pool-2-thread-1] INFO  dsc.service.JobExecutionController - Repository context switching to: REPOSITORY
2014-04-08 07:14:01,258 [pool-2-thread-1] INFO  dsc.service.JobExecutionController - Repository backup flag is: false
2014-04-08 07:14:01,312 [pool-2-thread-1] INFO  dsc.clientservice.DSCMessageHandlerImpl - Processed Command Action: LIST_JOB_PERMISSIONS
2014-04-08 07:14:01,323 [jobRequestListenerContainer-4] INFO  dsc.clientservice.CommandMessageHandlerImpl - PING_DSC -4339144553394482836 com.teradata.dsc.commons.schema.generated.DscPingDscServer@589287b4
2014-04-08 07:14:01,332 [jobRequestListenerContainer-3] INFO  dsc.clientservice.CommandMessageHandlerImpl - LIST_SAVE_SETS 168463618460854756 com.teradata.dsc.commons.schema.generated.DscListSaveSets@320ed493
2014-04-08 07:14:01,332 [pool-2-thread-3] INFO  dsc.clientservice.DSCMessageHandlerImpl - Process command 4823@BIGDATAVP20140321215954,LIST_SAVE_SETS
2014-04-08 07:14:01,332 [pool-2-thread-3] INFO  dsc.service.JobExecutionController - Repository context switching to: REPOSITORY
2014-04-08 07:14:01,332 [pool-2-thread-3] INFO  dsc.service.JobExecutionController - Repository backup flag is: false
2014-04-08 07:14:01,496 [pool-2-thread-3] INFO  dsc.clientservice.DSCMessageHandlerImpl - Processed Command Action: LIST_SAVE_SETS
2014-04-08 07:14:04,376 [jobRequestListenerContainer-2] INFO  dsc.clientservice.CommandMessageHandlerImpl - PING_DSC -5325152554429308469 com.teradata.dsc.commons.schema.generated.DscPingDscServer@5f038e68
2014-04-08 07:14:04,436 [jobRequestListenerContainer-1] INFO  dsc.clientservice.CommandMessageHandlerImpl - LIST_SAVE_SETS -5928508543578239429 com.teradata.dsc.commons.schema.generated.DscListSaveSets@5f21740b
